id_processo;numero;grau;classe;id_classe;nome_natureza;id_orgao_julgador;nome_orgao_julgador;nome_municipio;id_assunto;flg_juizo_100_digital;flg_nucleo_4;dt_evento;var;sistema
203592203;;G1;Pedido de Prisão Preventiva;313;Conhecimento Criminal;854040010949;2ª Vara de Proteção à Mulher;RIO BRANCO;;Não;Não;2026-05-31 00:00:00;Casos Novos;EPROC
203539597;;G1;Medidas Protetivas de Urgência (Lei Maria da Penha)  - Criminal;1268;Conhecimento Criminal;170540070002;Vara Única - Criminal de Xapuri;XAPURI;;Não;Não;2026-01-28 00:00:00;Casos Novos;SAJ
203539597;;G1;Medidas Protetivas de Urgência (Lei Maria da Penha)  - Criminal;1268;Conhecimento Criminal;170540070002;Vara Única - Criminal de Xapuri;XAPURI;;Não;Não;2026-05-27 00:00:00;Julgados;SAJ
203586858;;JE;Procedimento do Juizado Especial da Fazenda Pública;14695;Conhecimento Não Criminal;170530700015;Juizado Especial da Fazenda Pública E Rio Branco;RIO BRANCO;;Não;Não;2026-06-16 00:00:00;Julgados;EPROC
203520686;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;36130020002;2ª Vara Cível de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2025-02-24 00:00:00;Pendentes;SAJ
203596713;;JE;Termo Circunstanciado;278;Conhecimento Criminal;36450700007;Juizado Especial Criminal de Rio Branco;RIO BRANCO;;Não;Não;2026-06-17 00:00:00;Casos Novos;EPROC
203540241;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;81550140001;Vara Cível de Tarauacá;TARAUACA;;Não;Não;2026-04-15 00:00:00;Casos Novos;EPROC
203486885;;G1;Ação Penal - Procedimento Ordinário;283;Conhecimento Criminal;36150020004;2ª Vara Criminal de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2025-04-08 00:00:00;Pendentes;SAJ
203560028;;G1;Ação Penal - Procedimento Sumário;10943;Conhecimento Criminal;36150020004;2ª Vara Criminal de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2026-04-30 00:00:00;Casos Novos;SAJ
203523944;;JE;Procedimento do Juizado Especial da Fazenda Pública;14695;Conhecimento Não Criminal;170490040308;Vara Única - Juizado Especial de Fazenda Pública de Epitaciolândia;EPITACIOLANDIA;;Não;Não;2026-04-10 00:00:00;Casos Novos;EPROC
203602102;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36390700003;1º Juizado Especial Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-05-11 00:00:00;Casos Novos;EPROC
203497910;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;81530130001;Vara Cível de Feijó;FEIJO;;Não;Não;2026-03-13 00:00:00;Casos Novos;EPROC
203497910;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;81530130001;Vara Cível de Feijó;FEIJO;;Não;Não;2026-03-23 00:00:00;Suspensos;EPROC
203573887;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;116740030001;Vara Cível de Brasiléia;BRASILÉIA;;Não;Não;2026-04-02 00:00:00;Casos Novos;EPROC
203602142;;G1;Alimentos - Lei Especial Nº 5.478/68;69;Conhecimento Não Criminal;110460010702;2ª Vara de Família de Rio Branco;RIO BRANCO;;Não;Não;2026-05-18 00:00:00;Casos Novos;EPROC
203564835;;G1;Alimentos - Lei Especial Nº 5.478/68;69;Conhecimento Não Criminal;81530130001;Vara Cível de Feijó;FEIJO;;Não;Não;2025-12-03 00:00:00;Pendentes;EPROC
203527054;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;81530130001;Vara Cível de Feijó;FEIJO;;Não;Não;2026-04-22 00:00:00;Casos Novos;EPROC
203586483;;G1;Alimentos - Lei Especial Nº 5.478/68;69;Conhecimento Não Criminal;36310010703;3ª Vara de Família de Rio Branco;RIO BRANCO;;Não;Não;2026-05-05 00:00:00;Casos Novos;EPROC
203572648;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;170490040201;Vara Única - Juizado Especial Cível de Epitaciolândia;EPITACIOLANDIA;;Não;Não;2016-05-03 00:00:00;Pendentes;SAJ
203610366;;G1;Interdição/Curatela;58;Conhecimento Não Criminal;36300010701;1ª Vara de Família de Rio Branco;RIO BRANCO;;Não;Não;2026-06-02 00:00:00;Julgados;SAJ
203523139;;G1;Alimentos - Lei Especial Nº 5.478/68;69;Conhecimento Não Criminal;36120020001;1ª Vara Cível de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2026-04-15 00:00:00;Casos Novos;EPROC
203525749;;G2;Apelação Cível;198;Conhecimento Não Criminal;903359002294;Gabinete do Des. Lois Carlos Arruda;RIO BRANCO;;Não;Não;2025-09-08 00:00:00;Pendentes;SAJ
203509711;;G2;Apelação / Remessa Necessária;1728;Conhecimento Não Criminal;755379002218;Gabinete do Des. Elcio Sabo Mendes Júnior;RIO BRANCO;;Não;Não;2026-01-19 00:00:00;Casos Novos;SAJ
203509711;;G2;Apelação / Remessa Necessária;1728;Conhecimento Não Criminal;755379002218;Gabinete do Des. Elcio Sabo Mendes Júnior;RIO BRANCO;;Não;Não;2026-02-14 00:00:00;Julgados;SAJ
203529674;;G1;Ação Penal - Procedimento Ordinário;283;Conhecimento Criminal;854040010949;2ª Vara de Proteção à Mulher;RIO BRANCO;;Não;Não;2026-01-28 00:00:00;Casos Novos;SAJ
203547080;;G1;Alimentos - Lei Especial Nº 5.478/68;69;Conhecimento Não Criminal;36300010701;1ª Vara de Família de Rio Branco;RIO BRANCO;;Não;Não;2025-11-10 00:00:00;Pendentes;EPROC
203551411;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36410700004;2º Juizado Especial Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-04-30 00:00:00;Casos Novos;EPROC
203613577;;G1;Reintegração / Manutenção de Posse;1707;Conhecimento Não Criminal;36240010204;4ª Vara Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-06-25 00:00:00;Julgados;SAJ
203571780;;G1;Alimentos - Lei Especial Nº 5.478/68;69;Conhecimento Não Criminal;110460010702;2ª Vara de Família de Rio Branco;RIO BRANCO;;Não;Não;2026-01-27 00:00:00;Julgados;SAJ
203460136;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36420700001;3º Juizado Especial Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-01-26 00:00:00;Julgados;EPROC
203570665;;G1;Usucapião;49;Conhecimento Não Criminal;36210010201;1ª Vara Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-04-16 00:00:00;Julgados;SAJ
203591632;;G1;Ação Penal - Procedimento Ordinário;283;Conhecimento Criminal;816940010111;2ª Vara Criminal de Rio Branco;RIO BRANCO;;Não;Não;2026-06-22 00:00:00;Casos Novos;EPROC
203475935;;G1;Guarda de Família;14671;Conhecimento Não Criminal;36310010703;3ª Vara de Família de Rio Branco;RIO BRANCO;;Não;Não;2026-01-08 00:00:00;Julgados;EPROC
203530910;;G1;Busca e Apreensão Infância e Juventude;1438;Conhecimento Não Criminal;137300810002;2ª Vara da Infância e da Juventude de  Rio Branco;RIO BRANCO;;Não;Não;2026-04-16 00:00:00;Julgados;SAJ
203490567;;G1;Guarda de Infância e Juventude;1420;Conhecimento Não Criminal;137300810002;2ª Vara da Infância e da Juventude de  Rio Branco;RIO BRANCO;;Não;Não;2026-03-27 00:00:00;Julgados;SAJ
203559144;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36420700001;3º Juizado Especial Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-05-17 00:00:00;Casos Novos;EPROC
203557560;;G1;Busca e Apreensão em Alienação Fiduciária;81;Conhecimento Não Criminal;36120020001;1ª Vara Cível de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2026-02-27 00:00:00;Casos Novos;EPROC
203557560;;G1;Busca e Apreensão em Alienação Fiduciária;81;Conhecimento Não Criminal;36120020001;1ª Vara Cível de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2026-04-11 00:00:00;Julgados;EPROC
203512796;;TR;Recurso Inominado Cível;460;Conhecimento Não Criminal;938589012318;Gabinete do Juiz de Direirto Erik da Fonseca Farhat;RIO BRANCO;;Não;Não;2026-02-04 00:00:00;Casos Novos;SAJ
203512796;;TR;Recurso Inominado Cível;460;Conhecimento Não Criminal;938589012318;Gabinete do Juiz de Direirto Erik da Fonseca Farhat;RIO BRANCO;;Não;Não;2026-02-27 00:00:00;Julgados;SAJ
203458563;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36420700001;3º Juizado Especial Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-01-12 00:00:00;Julgados;EPROC
203604111;;G2;Apelação Cível;198;Conhecimento Não Criminal;335559002135;Gabinete da Desª. Regina Célia Ferrari Longuini;RIO BRANCO;;Não;Não;2026-02-23 00:00:00;Julgados;SAJ
203588287;;G1;Guarda de Família;14671;Conhecimento Não Criminal;36040090001;Vara Cível de Senador Guiomard;SENADOR GUIOMARD;;Não;Não;2026-03-26 00:00:00;Casos Novos;EPROC
203515409;;G1;Guarda de Família;14671;Conhecimento Não Criminal;36080110001;Vara Cível de Sena Madureira;SENA MADUREIRA;;Não;Não;2026-04-23 00:00:00;Casos Novos;EPROC
203574855;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;81550140001;Vara Cível de Tarauacá;TARAUACA;;Não;Não;2025-10-23 00:00:00;Pendentes;SAJ
203563453;;G1;Guarda de Família;14671;Conhecimento Não Criminal;110460010702;2ª Vara de Família de Rio Branco;RIO BRANCO;;Não;Não;2026-06-09 00:00:00;Casos Novos;EPROC
203527523;;G1;Ação Penal - Procedimento Ordinário;283;Conhecimento Criminal;81510050002;Vara Única - Criminal de Capixaba;CAPIXABA;;Não;Não;2026-02-02 00:00:00;Casos Novos;SAJ
203552004;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;81550140001;Vara Cível de Tarauacá;TARAUACA;;Não;Não;2026-03-31 00:00:00;Casos Novos;EPROC
203514813;;G1;Ação Civil Pública Infância e Juventude;1690;Conhecimento Não Criminal;170540070001;Vara Única - Cível de Xapuri;XAPURI;;Não;Não;2026-05-11 00:00:00;Casos Novos;EPROC
203436439;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;163170160001;Vara Única - Cível de Assis Brasil;ASSIS BRASIL;;Não;Não;2025-09-26 00:00:00;Pendentes;SAJ
203537314;;G1;Medidas Protetivas de Urgência (Lei Maria da Penha)  - Criminal;1268;Conhecimento Criminal;35880030002;Vara Criminal de Brasileia;BRASILÉIA;;Não;Não;2026-01-06 00:00:00;Casos Novos;SAJ
203537314;;G1;Medidas Protetivas de Urgência (Lei Maria da Penha)  - Criminal;1268;Conhecimento Criminal;35880030002;Vara Criminal de Brasileia;BRASILÉIA;;Não;Não;2026-02-04 00:00:00;Julgados;SAJ
203554078;;G1;Ação Penal - Procedimento Ordinário;283;Conhecimento Criminal;81540130002;Vara Criminal de Feijó;FEIJO;;Não;Não;2026-06-03 00:00:00;Casos Novos;SAJ
203563189;;G2;Apelação Cível;198;Conhecimento Não Criminal;903359002294;Gabinete do Des. Lois Carlos Arruda;RIO BRANCO;;Não;Não;2026-01-07 00:00:00;Casos Novos;SAJ
203563189;;G2;Apelação Cível;198;Conhecimento Não Criminal;903359002294;Gabinete do Des. Lois Carlos Arruda;RIO BRANCO;;Não;Não;2026-03-11 00:00:00;Julgados;SAJ
203584265;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;170500080001;Vara Única - Cível de Plácido de Castro;PLACIDO DE CASTRO;;Não;Não;2026-03-23 00:00:00;Casos Novos;EPROC
203497145;;G1;Ação Civil Pública;65;Conhecimento Não Criminal;36320010601;1ª Vara da Fazenda Pública de Rio Branco;RIO BRANCO;;Não;Não;2026-02-25 00:00:00;Casos Novos;EPROC
203537136;;TR;Recurso Inominado Cível;460;Conhecimento Não Criminal;335739012174;Gabinete do Juiz de Direito Gilberto Matos de Araújo;RIO BRANCO;;Não;Não;2026-03-25 00:00:00;Julgados;SAJ
203497715;;G1;Ação Penal - Procedimento Ordinário;283;Conhecimento Criminal;63790010904;1ª Vara de Proteção à Mulher de Rio Branco;RIO BRANCO;;Não;Não;2026-04-10 00:00:00;Julgados;SAJ
203558515;;G1;Ação Civil Pública;65;Conhecimento Não Criminal;36040090001;Vara Cível de Senador Guiomard;SENADOR GUIOMARD;;Não;Não;2026-04-16 00:00:00;Casos Novos;EPROC
203549890;;G1;Termo Circunstanciado;278;Conhecimento Criminal;896129120001;Vara Estadual do Juiz das Garantias;RIO BRANCO;;Não;Não;2026-05-07 00:00:00;Casos Novos;EPROC
203512360;;G1;Busca e Apreensão em Alienação Fiduciária;81;Conhecimento Não Criminal;36220010202;2ª Vara Cível de Rio Branco;RIO BRANCO;;Não;Não;2026-03-10 00:00:00;Casos Novos;EPROC
203600938;;G1;Alimentos - Lei Especial Nº 5.478/68;69;Conhecimento Não Criminal;110460010702;2ª Vara de Família de Rio Branco;RIO BRANCO;;Não;Não;2026-03-23 00:00:00;Casos Novos;EPROC
203477627;;G1;Retificação ou Suprimento ou Restauração de Registro Civil;1682;Conhecimento Não Criminal;36360010801;Vara de Registros Públicos Órfãos e Sucessões e de Cartas Precatórias Cíveis de Rio Branco;RIO BRANCO;;Não;Não;2026-02-25 00:00:00;Casos Novos;EPROC
203477627;;G1;Retificação ou Suprimento ou Restauração de Registro Civil;1682;Conhecimento Não Criminal;36360010801;Vara de Registros Públicos Órfãos e Sucessões e de Cartas Precatórias Cíveis de Rio Branco;RIO BRANCO;;Não;Não;2026-03-04 00:00:00;Julgados;EPROC
203497288;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36160020005;Vara Única - Juizado Especial Cível de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2026-03-31 00:00:00;Casos Novos;EPROC
