id_processo;numero;grau;classe;id_classe;nome_natureza;id_orgao_julgador;nome_orgao_julgador;nome_municipio;id_assunto;flg_juizo_100_digital;flg_nucleo_4;dt_evento;var;sistema
203122927;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;36120020001;1ª Vara Cível de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2022-06-22 00:00:00;Distribuidos;SAJ
203122927;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;36120020001;1ª Vara Cível de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2023-01-13 00:00:00;Julgados;SAJ
203488856;;TR;Recurso Inominado Cível;460;Conhecimento Não Criminal;911689012311;Gabinete do Juiz de Direito Clovis de Souza Lodi;RIO BRANCO;;Não;Não;2021-12-01 00:00:00;Distribuidos;SAJ
203488856;;TR;Recurso Inominado Cível;460;Conhecimento Não Criminal;911689012311;Gabinete do Juiz de Direito Clovis de Souza Lodi;RIO BRANCO;;Não;Não;2022-01-28 00:00:00;Suspensos;SAJ
203307846;;G1;Ação Penal - Procedimento Sumário;10943;Conhecimento Criminal;35880030002;Vara Criminal de Brasileia;BRASILÉIA;;Não;Não;2018-08-08 00:00:00;Distribuidos;SAJ
203307846;;G1;Ação Penal - Procedimento Sumário;10943;Conhecimento Criminal;35880030002;Vara Criminal de Brasileia;BRASILÉIA;;Não;Não;2024-11-06 00:00:00;Suspensos;SAJ
203320164;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;36210010201;1ª Vara Cível de Rio Branco;RIO BRANCO;;Não;Não;2022-07-12 00:00:00;Distribuidos;SAJ
203320164;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;36210010201;1ª Vara Cível de Rio Branco;RIO BRANCO;;Não;Não;2024-10-25 00:00:00;Julgados;SAJ
203615758;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;36240010204;4ª Vara Cível de Rio Branco;RIO BRANCO;;Não;Não;2022-08-29 00:00:00;Distribuidos;SAJ
203615758;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;36240010204;4ª Vara Cível de Rio Branco;RIO BRANCO;;Não;Não;2025-09-11 00:00:00;Julgados;SAJ
203303777;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36410700004;2º Juizado Especial Cível de Rio Branco;RIO BRANCO;;Não;Não;2023-09-11 00:00:00;Distribuidos;SAJ
203303777;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36410700004;2º Juizado Especial Cível de Rio Branco;RIO BRANCO;;Não;Não;2024-04-15 00:00:00;Julgados;SAJ
203225740;;G1;Busca e Apreensão em Alienação Fiduciária;81;Conhecimento Não Criminal;36240010204;4ª Vara Cível de Rio Branco;RIO BRANCO;;Não;Não;2022-12-12 00:00:00;Distribuidos;SAJ
203225740;;G1;Busca e Apreensão em Alienação Fiduciária;81;Conhecimento Não Criminal;36240010204;4ª Vara Cível de Rio Branco;RIO BRANCO;;Não;Não;2023-04-24 00:00:00;Julgados;SAJ
203279630;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;170540070001;Vara Única - Cível de Xapuri;XAPURI;;Não;Não;2021-12-13 00:00:00;Distribuidos;SAJ
203279630;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;170540070001;Vara Única - Cível de Xapuri;XAPURI;;Não;Não;2024-08-08 00:00:00;Julgados;SAJ
203149984;;G1;Busca e Apreensão em Alienação Fiduciária;81;Conhecimento Não Criminal;170510010205;5ª Vara Cível de Rio Branco;RIO BRANCO;;Não;Não;2022-11-18 00:00:00;Distribuidos;SAJ
203149984;;G1;Busca e Apreensão em Alienação Fiduciária;81;Conhecimento Não Criminal;170510010205;5ª Vara Cível de Rio Branco;RIO BRANCO;;Não;Não;2023-02-18 00:00:00;Julgados;SAJ
203335556;;G1;Pedido de Busca e Apreensão Criminal;309;Conhecimento Criminal;81540130002;Vara Criminal de Feijó;FEIJO;;Não;Não;2021-04-28 00:00:00;Distribuidos;SAJ
203335556;;G1;Pedido de Busca e Apreensão Criminal;309;Conhecimento Criminal;81540130002;Vara Criminal de Feijó;FEIJO;;Não;Não;2025-02-05 00:00:00;Julgados;SAJ
203109576;;G1;Ação Penal de Competência do Júri;282;Conhecimento Criminal;35880030002;Vara Criminal de Brasileia;BRASILÉIA;;Não;Não;2022-09-30 00:00:00;Distribuidos;SAJ
203109576;;G1;Ação Penal de Competência do Júri;282;Conhecimento Criminal;35880030002;Vara Criminal de Brasileia;BRASILÉIA;;Não;Não;2023-01-30 00:00:00;Julgados;SAJ
203235295;;G2;Apelação Cível;198;Conhecimento Não Criminal;335499000001;PRIMEIRA CÂMARA CÍVEL;RIO BRANCO;;Não;Não;2023-05-06 00:00:00;Distribuidos;SAJ
203235295;;G2;Apelação Cível;198;Conhecimento Não Criminal;335499000001;PRIMEIRA CÂMARA CÍVEL;RIO BRANCO;;Não;Não;2024-01-31 00:00:00;Julgados;SAJ
203162715;;G1;Alimentos - Lei Especial Nº 5.478/68;69;Conhecimento Não Criminal;36080110001;Vara Cível de Sena Madureira;SENA MADUREIRA;;Não;Não;2022-03-29 00:00:00;Distribuidos;SAJ
203162715;;G1;Alimentos - Lei Especial Nº 5.478/68;69;Conhecimento Não Criminal;36080110001;Vara Cível de Sena Madureira;SENA MADUREIRA;;Não;Não;2023-07-21 00:00:00;Julgados;SAJ
203135511;;G1;Alimentos - Lei Especial Nº 5.478/68;69;Conhecimento Não Criminal;36080110001;Vara Cível de Sena Madureira;SENA MADUREIRA;;Não;Não;2022-09-09 00:00:00;Distribuidos;SAJ
203135511;;G1;Alimentos - Lei Especial Nº 5.478/68;69;Conhecimento Não Criminal;36080110001;Vara Cível de Sena Madureira;SENA MADUREIRA;;Não;Não;2023-03-28 00:00:00;Julgados;SAJ
203273499;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36160020005;Vara Única - Juizado Especial Cível de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2023-10-24 00:00:00;Distribuidos;SAJ
203273499;;JE;Procedimento do Juizado Especial Cível;436;Conhecimento Não Criminal;36160020005;Vara Única - Juizado Especial Cível de Cruzeiro do Sul;CRUZEIRO DO SUL;;Não;Não;2024-06-21 00:00:00;Julgados;SAJ
203412499;;G1;Procedimento Comum Cível;7;Conhecimento Não Criminal;81530130001;Vara Cível de Feijó;FEIJO;;Não;Não;2022-08-17 00:00:00;Distribuidos;SAJ
