grau;id_orgao_julgador;procedimento;anomes;quantidade_baixados;quantidade_remetidos_ent;quantidade_remetidos_saida;quantidade_novos;quantidade_baixados_12m;quantidade_remetidos_ent_12m;quantidade_remetidos_saida_12m;quantidade_novos_12m
G1;110460010702;Execução Judicial;202303;37;0;0;28;60;1;2;76
G1;110460010702;Conhecimento;202304;103;10;12;110;321;30;31;387
G1;110460010702;Execução Judicial;202304;27;1;0;30;87;2;2;106
G1;110460010702;Conhecimento;202305;98;5;2;107;419;35;33;494
G1;110460010702;Execução Judicial;202305;27;1;1;33;114;3;3;139
G1;110460010702;Conhecimento;202306;59;9;10;125;478;44;43;619
G1;110460010702;Execução Judicial;202306;22;0;0;30;136;3;3;169
G1;110460010702;Execução Judicial;202307;40;0;2;18;176;3;5;187
G1;110460010702;Conhecimento;202307;124;9;14;110;602;53;57;729
G1;110460010702;Execução Judicial;202308;33;0;0;46;209;3;5;233
G1;110460010702;Conhecimento;202308;72;15;10;123;674;68;67;852
G1;110460010702;Conhecimento;202309;72;8;5;124;746;76;72;976
G1;110460010702;Execução Judicial;202309;21;3;0;37;230;6;5;270
G1;110460010702;Conhecimento;202310;110;10;13;171;856;86;85;1147
G1;110460010702;Execução Judicial;202310;40;0;4;41;270;6;9;311
G1;110460010702;Execução Judicial;202311;22;2;2;9;292;8;11;320
G1;110460010702;Conhecimento;202311;147;19;13;108;1003;105;98;1255
G1;110460010702;Execução Judicial;202312;106;15;8;26;398;23;19;346
G1;110460010702;Conhecimento;202312;293;12;17;69;1296;117;115;1324
G1;110460010702;Conhecimento;202401;15;4;10;125;1279;114;118;1369
G1;110460010702;Execução Judicial;202401;4;0;6;19;387;22;23;345
G1;110460010702;Execução de Título Extrajudicial;202402;0;0;0;1;0;0;0;1
G1;110460010702;Execução Judicial;202402;28;21;1;19;407;43;24;336
G1;110460010702;Conhecimento;202402;113;31;12;117;1339;140;126;1403
G1;110460010702;Execução de Título Extrajudicial;202403;0;0;0;0;0;0;0;1
G1;110460010702;Execução Judicial;202403;9;22;3;25;379;65;27;333
G1;110460010702;Conhecimento;202403;48;17;9;139;1254;149;127;1428
G1;110460010702;Conhecimento;202404;179;29;66;180;1330;168;181;1498
G1;110460010702;Execução Judicial;202404;23;40;20;10;375;104;47;313
G1;110460010702;Execução de Título Extrajudicial;202404;0;0;0;3;0;0;0;4
G1;110460010702;Execução Judicial;202405;26;40;0;18;374;143;46;298
G1;110460010702;Conhecimento;202405;210;29;23;105;1442;192;202;1496
G1;110460010702;Execução de Título Extrajudicial;202405;1;0;0;0;1;0;0;4
G1;110460010702;Execução de Título Extrajudicial;202406;0;0;0;0;1;0;0;4
